Mixture	B.cell	Dendritic.cell	Macrophage	NK.cell	T.cell	Basophil	Monocyte	Neutrophil	P-value	Correlation	RMSE
Sim303	0.247140581154364	0	0.167962854534891	0	0.190388632249595	0.0253123240262254	0	0.369195608034925	0	0.105720750258364	1.15737423989439
Sim304	0.118987875221711	0.0824644197424339	0.120460642267285	0.138895151372439	0	0.427988438962929	0.111203472433202	0	0	0.236661436946072	1.06111171560449
Sim305	0.187628115386065	0.0362555293846807	0	0.0922701814511842	0.406830218650467	0.266426773902953	0	0.0105891812246506	0	0.191868689720304	1.09691812602124
Sim306	0	0.144142990835931	0	0.25456031331285	0.360724811526187	0.0342965537361961	0.206275330588835	0	0	0.235030712282589	1.08339912927094
Sim307	0	0.0806804995114125	0	0	0.401129233843793	0.13687170587852	0	0.381318560766275	0	0.104350173854433	1.15568882992543
Sim308	0.0695755325112078	0	0.162406341136763	0	0.361623813333869	0.174300335116048	0	0.232093977902112	0	0.200840204317505	1.08649425543599
Sim309	0.154496835903015	0	0.0775901136737542	0.0964289125011382	0	0.464119615918153	0	0.20736452200394	0	0.344414981426315	1.022497764171
Sim310	0.584692418291679	0	0.0468423444453439	0	0	0	0	0.368465237262977	0	0.0986877861763454	1.16626553763393
Sim311	0	0.1743845471924	0	0.41620781565095	0	0.0463285286814495	0.327456675304466	0.035622433170735	0	0.114833013609601	1.13528767730679
Sim312	0.00337483772857632	0.201694895057289	0.0432734716642895	0	0.281642916087085	0.221592453075905	0	0.248421426386854	0	0.142771129060982	1.12381405148571
Sim313	0	0.283667547888874	0.0780056349622501	0.00738116992866114	0.341443204769777	0.176107152421738	0.1133952900287	0	0	0.12080646612231	1.13277427253956
Sim314	0	0	0.114993319584055	0.142884851709839	0.635750757839321	0	0	0.106371070866786	0	0.193894380397137	1.16036030503282
Sim315	0.116592950960169	0	0.172471414727154	0	0.277998983973971	0.178716474893408	0.254220175445298	0	0	0.156057450127708	1.09376045726163
Sim316	0.256166215293416	0	0.101415925430513	0.204344958286583	0	0.271364838761314	0.159802993875582	0.00690506835259077	0	0.0986511277218076	1.12692630196146
Sim317	0	0	0.253105499461771	0	0.448657062214427	0	0.0644794790731856	0.233757959250616	0	0.0700472462078324	1.18093759683124
Sim318	0.392731599707617	0	0.286359201263102	0	0	0.292368038861449	0	0.0285411601678328	0	0.0282020217304362	1.18634554974333
Sim319	0.273220518960625	0	0	0	0.488201675233089	0	0.0349200959595856	0.2036577098467	0	0.221045942522109	1.09465041938402
Sim320	0.297944243154993	0.448197035393525	0.0970108840986433	0	0.0731546115407783	0	0	0.0836932258120608	0	0.0666308961624294	1.24634118765313
Sim321	0	0.0837406979175419	0	0.0885662963774653	0.507674440652527	0	0.0250827692336716	0.294935795818795	0	0.201382553722508	1.10697872581434
Sim322	0	0	0.0525635716730187	0	0.431051358022338	0.00506792059531277	0.344171813225017	0.167145336484314	0	0.159603970466267	1.09249602618536
Sim323	0.0814182596691057	0.0716904755334846	0.3505480464633	0.0835838858001822	0	0.0379851818579239	0.374774150676004	0	0	0.170076800818643	1.11119923418283
Sim324	0	0.0619439929374466	0.048122425037771	0	0.722409576776465	0.0275391739614653	0.139984831286852	0	0	0.168775390558645	1.1323365577373
Sim325	0.0822686332598133	0	0	0	0.447095822142908	0	0.470635544597279	0	0	0.163064978074661	1.09441854886686
Sim326	0.392136587980668	0	0.132740825890714	0	0.205808118888823	0.192960167810694	0.0763542994290998	0	0	-0.00134589029162122	1.19546929252475
Sim327	0.439084753104388	0.0456107125143433	0.0285308317848063	0.278798025809421	0	0.207975676787041	0	0	0	0.0989586601856162	1.17516929147496
Sim328	0.220909183988002	0	0.111703854544334	0.0801682644578196	0.475986658252176	0.111232038757669	0	0	0	0.0741617457399421	1.21033083514481
Sim329	0.223425125514879	0	0.136879924453594	0	0.282111745781012	0	0.125868234210875	0.23171497003964	0	0.0516065428107193	1.16990791400002
