Mixture	B.cell	Dendritic.cell	Macrophage	T.cell	Basophil	Monocyte	Neutrophil	NK.cell	P-value	Correlation	RMSE
Sim254	0.0363065934427873	0	0.0823139744665865	0.265363179857872	0.171357291941524	0.282192428550388	0	0.162466531740842	0	0.128356208622795	1.12094781212291
Sim255	0.190757143977254	0	0	0.138104838661974	0	0.559481741740182	0.0112054007040484	0.100450874916541	0	-0.00325285929929454	1.18886081620596
Sim256	0.121606421358127	0	0	0.168220207723318	0.245043344867262	0.386818414828701	0.0783116112225924	0	0	0.235607781050958	1.0603752356963
Sim257	0.353530282107803	0	0	0.154277627950452	0.0226299094336381	0.41654948564946	0.0530126948586465	0	0	-0.0120991394098721	1.18208626750163
Sim258	0.0978158198157113	0.0630568448531957	0.108360411501997	0.366043989210963	0.364722934618132	0	0	0	0	0.282718470551279	1.04138471109641
Sim259	0	0.151276569422295	0.0722123141690822	0.221227902562775	0.171341646561356	0	0.219907910329486	0.164033656955005	0	0.166601375643965	1.12606128166711
Sim260	0.290608717278947	0.186181825858843	0.119622189258845	0.0908992248994583	0.262190068328683	0.0504979743752247	0	0	0	0.129356265300244	1.1143387262339
Sim261	0.253972918269766	0.0464697788491883	0	0.109954687197539	0.278130260810323	0.154273539700722	0	0.157198815172462	0	0.203791240216257	1.06629971605876
Sim262	0.0200235015977436	0.12376373953789	0	0.22032259056436	0.323643604954102	0.145017364719804	0	0.167229198626101	0	0.261719456597686	1.04588539737769
Sim263	0	0	0	0.310450508735068	0.398489048597877	0.145141481906097	0	0.145918960760958	0	0.120226574129872	1.14317948626992
Sim264	0	0	0.259039008952888	0	0.340297269574431	0.166800432734995	0	0.233863288737686	0	0.150422861570473	1.11766842711718
Sim265	0.648826877987437	0.0588135678798965	0	0	0.0925130311323192	0.0230179877356041	0.176828535264743	0	0	0.105519232390446	1.13939795512975
Sim266	0	0.0489930279866383	0.308040227942249	0.354108498886804	0	0	0.210433582502911	0.0784246626813972	0	0.281233277695842	1.08114933147585
Sim267	0.215832703204523	0.0095127946220854	0.168626229992899	0.195067762176531	0	0	0.410960510003961	0	0	0.143298965798308	1.12826872811674
Sim268	0.322098834859846	0	0.325511116100979	0	0.0659509132170917	0.224202217137757	0	0.0622369186843273	0	0.232757018043014	1.04953663985136
Sim269	0	0.134776230239089	0.0884246429877553	0.0802676537402923	0.161522836875883	0	0.405710489098519	0.129298147058461	0	0.173940287114079	1.13370107330696
Sim270	0.164229880706005	0	0.0877848574149642	0	0.240030171206727	0	0	0.507955090672304	0	0.058871014437123	1.20828067699263
