Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	Basophil	NK.cell	T.cell	P-value	Correlation	RMSE
Sim295	0.0369327307301079	0	0	0	0	0.329998072606588	0.236609903004053	0.396459293659251	0	0.140276302849756	1.14517350239377
Sim296	0.0326414673823392	0.251028078414685	0.0676323596911082	0	0.0465424457142828	0.424387428769331	0	0.177768220028254	0	0.339002237323038	1.00654120162765
Sim297	0	0.114732253766446	0	0	0.219067093932305	0.192267497641259	0.334812954898393	0.139120199761598	0	0.124706373043822	1.13317375487407
Sim298	0.0774864294406155	0	0.157627501394072	0.410817199274657	0.0694724575245568	0	0.284596412366098	0	0	-0.0190910269946302	1.19673852128742
Sim299	0.258328518494594	0.117085586537191	0.171141632727521	0	0.319034594418517	0	0	0.134409667822177	0	0.152811073174915	1.12535660658996
Sim300	0.0309975650032596	0.52871629070829	0	0	0	0.0102772780082243	0.0450684782925844	0.384940387987642	0	-0.0493950268410668	1.23746659903319
Sim301	0.0311514150448179	0.106053333601056	0.373174641614519	0.0270256845033057	0	0.283606746910803	0.178988178325499	0	0	0.162613506919356	1.1237495121661
Sim302	0.00431333596064347	0.231872745845539	0	0.041554197973516	0	0.568395717903404	0.153864002316898	0	0	0.29182418785176	1.05857745184276
Sim303	0.381550715850206	0.189033075646401	0.0394389508716401	0.0522681146102683	0.0636435487453445	0.0567077103599399	0	0.2173578839162	0	0.255932431571188	1.03731708367355
Sim304	0.0325813370071412	0.055144317065859	0	0.278522164455144	0.180202744882562	0.237972258973506	0	0.215577177615787	0	0.27966836454042	1.03074638756334
Sim305	0	0	0.0307996556309465	0.234970048822616	0.0842333261277465	0.251028695958636	0	0.398968273460055	0	0.131572959076795	1.09970355426671
Sim306	0	0.20961031262508	0	0.0818305361729747	0.280816122237019	0	0.317774576356869	0.109968452608058	0	-0.0531847890806539	1.20717530846152
Sim307	0	0	0.260495857371745	0.145644941873877	0	0.290757384387683	0	0.303101816366695	0	0.032115182274977	1.17025696893542
Sim308	0.0634852578159418	0.109563334817631	0.403713376452025	0.143919944978044	0.00340735940935356	0	0.275910726527005	0	0	0.26909752452152	1.035533650194
Sim309	0.0756638781563654	0.169512491060711	0	0.381638016816913	0	0.211351961675762	0.0763130110480127	0.0855206412422353	0	0.116017822580316	1.13540967883853
Sim310	0.0841867620670272	0.701717488820753	0	0	0.118964002925193	0.00447756522781283	0	0.0906541809592144	0	0.29143856895377	1.09251657491374
Sim311	0.434479427613843	0	0.100964279863664	0.184907196575822	0	0.0895758635760446	0.134828846524041	0.0552443858465856	0	0.289465295480835	1.02416142462244
