Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim48	0.158768029188335	0.285028514547715	0	0.114306696653638	0.26983173168279	0.142020233966266	0	0.0300447939612554	0	0.243261821880646	1.10846675382391
Sim49	0	0	0	0.200674383181468	0.194956631937079	0.0220173674123865	0.521320338201631	0.0610312792674343	0	0.230401353679346	1.11049829062053
Sim50	0.152301666110385	0	0	0.128485470517535	0.174501918613388	0	0.467359768353838	0.0773511764048534	0	0.100767932016411	1.18983197346538
Sim51	0.533001773005593	0	0	0.2261945948103	0.198521150530298	0.00758576052426696	0	0.034696721129543	0	0.155681777881428	1.17035382891225
Sim52	0.183376377916403	0.104656966370905	0	0.0703783050129648	0	0	0.116392671344569	0.525195679355159	0	0.347989662974779	0.991297855701884
Sim53	0.000370360631705896	0.296048386447861	0.116233178633675	0.283828802839935	0.254617527074682	0.0489017443721413	0	0	0	0.0440700296811286	1.26077189731928
Sim54	0.31004008272058	0.108198266439448	0	0.116135692303853	0.238002816829761	0	0.124902071079917	0.10272107062644	0	0.252031576377562	1.08715521557294
Sim55	0.407201411949754	0	0	0.204328250790568	0.106436804653569	0.120848926912404	0	0.161184605693705	0	0.229144964225334	1.09303944452662
Sim56	0.223330144854694	0.0986286004770486	0.0114312450294318	0	0.134719008348054	0.0137689096007412	0	0.51812209169003	0	0.358502128244715	1.00540979049128
Sim57	0.221980849180991	0	0.0400716050811631	0	0.116236203620107	0.14037141584392	0.148700684199824	0.332639242073995	0	0.118791722552692	1.14208397332524
Sim58	0.415888047518441	0.115477804169263	0	0.00871391008266714	0.118417357492698	0.287175973166562	0	0.0543269075703685	0	0.167848812110037	1.16332297856027
Sim59	0.500734031192414	0	0	0.00764171529419464	0.239974128618642	0	0.0830912775585612	0.168558847336188	0	0.114526050299838	1.17549436799623
Sim60	0.19756017511292	0.0175086320603262	0	0.11582732564797	0.146252396642715	0.13331720283937	0.389534267696698	0	0	0.0673573211691193	1.23535442558573
Sim61	0.597748790979726	0	0.0432455284696986	0.118118306074133	0.0663901069460165	0.0267577059129203	0	0.147739561617505	0	0.263214752242995	1.07143459120846
Sim62	0.532841410893505	0.094708564126276	0.221464578580817	0.095100870935442	0	0.0324940816562126	0	0.0233904938077481	0	0.100326136802002	1.20909389768466
Sim63	0.167664282774372	0.081345984310703	0.310391154553878	0	0	0.0751893462546251	0	0.365409232106423	0	0.163809597245485	1.11276939644968
Sim64	0.116637822145847	0	0.21745397711799	0.0851335390878734	0	0.142550813634388	0.012889292336532	0.42533455567737	0	0.317112881505373	1.01711044521679
Sim65	0.00386803441344073	0	0.188629822213536	0.256598511690024	0	0	0.472727897763102	0.078175733919897	0	0.180056642396429	1.13974471090809
Sim66	0	0.0396709679496926	0.104586210435598	0.0759036154356916	0.123789420011427	0.264243528207094	0.391806257960497	0	0	0.250596483707133	1.11806457981146
Sim67	0.0679979092161866	0.136745942651887	0.206150433196041	0.246109056020961	0	0.125642900661755	0	0.217353758253169	0	0.175687288295408	1.12449075215961
Sim68	0	0.207617494926242	0.0276947213400516	0.0411994061167001	0.0963047861274311	0.227919320271153	0.121232769509953	0.278031501708468	0	0.145058813113577	1.13007766982705
Sim69	0.202517633295501	0	0.309731404783113	0	0.255260896866338	0.0785838232103131	0.153906241844736	0	0	0.230372764936403	1.11848196281774
Sim70	0.0816545825445865	0	0.190747233440076	0.220875973658412	0.241849334465693	0	0.168662253946641	0.0962106219445919	0	0.111285422083906	1.18937561402742
Sim71	0	0.352460747484835	0	0	0	0.0597597543027593	0.121632100612369	0.466147397600037	0	0.00827622486577849	1.19395938802409
Sim72	0.276117992916303	0.0103274620333193	0.296480177590929	0	0.0883785515556775	0.126550866732595	0	0.202144949171177	0	0.24690365132136	1.07389161739593
Sim73	0	0.36673932938319	0.0739169184481553	0	0	0	0	0.559343752168655	0	0.352395551001016	0.998988640640089
Sim74	0	0.0649455953112111	0.257710414848859	0.139169078818554	0.218334549571925	0.19760680523427	0	0.122233556215181	0	0.0889431595370889	1.20371466746212
Sim75	0.295827094916032	0.039261305209146	0	0.201038705471445	0	0.0109138911279288	0.0993337953774706	0.353625207897977	0	0.302537904433641	1.02100582483607
