Mixture	B.cell	Dendritic.cell	Macrophage	Neutrophil	T.cell	Basophil	Monocyte	NK.cell	P-value	Correlation	RMSE
Sim128	0.906950652189091	0.0473726677339382	0	0	0.00219919182825536	0.0140373096795622	0	0.0294401785691533	0	0.210154883070693	1.14325850022554
Sim129	0.361281726315545	0.0619234439944461	0	0.20799073162786	0.066867240420583	0.0380448653028042	0.0249782190135539	0.238913773325208	0	0.209775961922485	1.0335130871857
Sim130	0	0.054133031387998	0.0999126930033195	0.189665105620571	0.0319889327599911	0.204966478505393	0.211005573687128	0.208328185035599	0	0.245296462517174	1.04620135572841
Sim131	0	0.186507317106822	0	0.420270409186302	0.0249944734458227	0.266924180353028	0	0.101303619908026	0	0.151857063480349	1.11178253543882
Sim132	0.185330579041111	0.212707456934159	0	0.155867204961758	0.306795343159289	0.0259874608656621	0	0.113311955038021	0	0.254752719705312	1.01965392819338
Sim133	0.129391348742024	0.396595067251849	0	0	0.286089757132943	0.13351129096579	0	0.0544125359073943	0	0.170605019240759	1.06684608805419
Sim134	0	0.124271132744832	0	0.281507577345282	0.121745925453279	0.163504747301955	0.292199585289545	0.0167710318651067	0	0.268726767310816	1.02016394115558
Sim135	0.350734395433813	0.0893575210394737	0.00316051955695106	0.0271135114572247	0	0.0817169214421087	0	0.447917131070429	0	0.204106474224896	1.08567531607025
Sim136	0.200524762918149	0.224475340845957	0.0967196918626964	0.36474438021233	0.113535824160868	0	0	0	0	0.533852973724725	0.872371130855433
Sim137	0	0.15155174323062	0.110569914306275	0.315737955847062	0	0.296405686810269	0	0.125734699805774	0	0.416952814483619	0.937603582049178
Sim138	0.192640452976785	0.115481476663086	0.013978828916053	0	0.351083030503786	0	0.32681621094029	0	0	0.227128280805994	1.01431509082235
Sim139	0	0	0.14152705196068	0	0.13711316840901	0.172250508445553	0.549109271184757	0	0	0.0229152435618492	1.19785575507759
Sim140	0	0.514702737907312	0.100775771333422	0	0.141161330412029	0	0	0.243360160347236	0	0.108536231659942	1.17317282179255
Sim141	0.0666558732907048	0	0.0432857240898837	0.522754179216722	0.199886800448635	0.125809304888428	0	0.0416081180656273	0	0.339671843538336	0.992477090763232
Sim142	0.208562350657876	0.293082590780736	0.180934420461948	0.0518056074047623	0.164613234524322	0.00656507978084077	0.094436716389515	0	0	0.330210456661356	0.974926018070152
Sim143	0	0	0	0.506969240670884	0	0.36565456434411	0	0.127376194985006	0	0.442227322623497	0.939296592851846
Sim144	0.226515005998463	0	0.110892018310686	0.27273031525274	0	0.204580500598638	0	0.185282159839472	0	0.176107915364923	1.0547990582865
Sim145	0	0.144064637756366	0.148312119049765	0.077565363009491	0	0.0153213220904443	0.42165247671568	0.193084081378253	0	0.211004538058843	1.07391048355874
Sim146	0	0	0.31915681414842	0.171652052893011	0	0	0.282194237072346	0.226996895886223	0	0.0134332095048328	1.1858802452809
Sim147	0	0.0830112591674716	0	0.303383462616325	0	0.389433169247236	0	0.224172108968968	0	0.278910677401677	1.04341874115904
Sim148	0	0.0156013878621831	0.236763133060148	0.101626050148145	0	0.480129665697525	0	0.165879763231999	0	0.221403389563939	1.09842016671465
Sim149	0	0.103741290565212	0.272291693760579	0.00446407056995795	0.110058876446967	0.371262504423501	0	0.138181564233784	0	0.0366715417721461	1.17460007323712
Sim150	0.348763948520108	0.0517311002229327	0.119002480689203	0.167078093618121	0.241778516149726	0.0716458607999101	0	0	0	0.367637189926136	0.955268008439383
Sim151	0	0.0689055018016922	0.1971297161067	0.163378424469732	0.301088563922794	0	0.247570887520599	0.0219269061784821	0	0.364573407739372	0.953586618842148
Sim152	0.626081579449452	0.111610792064901	0.0915660571754209	0.0450414803990975	0	0.0415045667905259	0.0174562005792055	0.0667393235413972	0	0.224900219095126	1.05600749197957
Sim153	0.352955697162189	0.190617327147269	0.245853560026941	0.11180502035468	0.0987683953089204	0	0	0	0	0.430257891377865	0.932654638937849
Sim154	0	0.103516834667643	0.26861714866594	0.20023004715945	0.178460618351815	0.117940853629071	0.11380519724377	0.0174293002823123	0	0.099249960070496	1.11045519558602
Sim155	0.0966044462464932	0.14317684093762	0	0.446952264276582	0.144075805929634	0.147739541631079	0	0.0214511009785906	0	0.274658382620106	1.02311508936242
Sim156	0.00103610857985091	0	0.212723115849884	0.68654934768078	0	0	0.00493911216765962	0.0947523157218254	0	0.339534525448909	1.05609770545081
Sim157	0	0	0.415167060388241	0.0367882759899894	0.0107384179708271	0.194707625931533	0	0.342598619719409	0	0.223289418210346	1.095562135251
Sim158	0	0.204186451171015	0	0	0.0990991513727443	0.460145326305121	0.235708825720792	0.000860245430327663	0	0.299152157942882	1.04274606578211
Sim159	0.682074676166573	0	0	0	0	0	0	0.317925323833427	0	0.320393212757599	1.01838582976854
Sim160	0.325247073682664	0	0.364063069089032	0	0.16232495489506	0.0756398870530677	0.0404454365437518	0.0322795787364244	0	0.16545494968985	1.05413005068924
Sim161	0.190228104393126	0.221958738185511	0.0649324372641056	0.109341775790512	0.0964628437757438	0.0911591829058123	0.0368602594440441	0.189056658241146	0	0.0600101996290361	1.10896012247854
Sim162	0.255264811917262	0	0	0.0841296477389689	0	0.220449522432172	0.274827453856109	0.165328564055489	0	0.255501009678961	1.01998866616308
Sim163	0.0864184858835067	0.190599773823282	0.117813111454554	0.52948989439912	0.0370218357642426	0	0	0.0386568986752947	0	0.1904182877525	1.12003403763432
Sim164	0.12857645706837	0.235951395231053	0.0903923870672626	0.276370012720962	0	0.119460471819952	0.0974627576620518	0.0517865184303483	0	0.406429110462468	0.934591084511967
Sim165	0.0123991080892935	0.207360417321525	0	0.517073327440529	0	0.0588481718364045	0	0.204318975312249	0	0.0350028882155292	1.19466683587478
Sim166	0	0.178734304194814	0.0838576954753976	0	0.0502553272858667	0.488166783734447	0	0.198985889309474	0	0.273432456070296	1.06601218092374
Sim167	0.0599529018273935	0.243570692049546	0	0.591473125290738	0.0198989684560436	0.0146535507495225	0	0.0704507616267561	0	0.0824541652315932	1.19561190228861
Sim168	0.218620547077009	0.270227820024014	0	0.0664369477922514	0.189081413342385	0.119817460048528	0.13435154273254	0.00146426898327336	0	0.0931555322029421	1.07589091415356
Sim169	0.204787494247234	0.127608674519465	0.176030967728043	0.143146235824166	0.221451973379624	0.126974654301468	0	0	0	0.0534909905292157	1.10442669435311
Sim170	0	0.161062845233714	0.0886573629804518	0.216316232973978	0	0.144767437230519	0.187511733970053	0.201684387611285	0	0.0823812734426327	1.13407889559823
Sim171	0.934045220581111	0.0232151317905332	0	0.00679630611739029	0.00570105134709363	0	0.0176037416427756	0.0126385485210964	0	0.0126896199463401	1.26675974440063
Sim172	0.402077515497162	0.0249497002423413	0.0417809376845523	0	0.0873318855640881	0	0.276072062713281	0.167787898298576	0	0.276549855163814	0.994532886247706
Sim173	0	0.354072055591166	0.0908504859898416	0.219409483979064	0	0.165731260029404	0	0.169936714410524	0	0.245035483822908	1.04750392505077
Sim174	0.105611872972903	0.0271431665541912	0.156409813826653	0.603073149322163	0.10776199732409	0	0	0	0	0.478507098017699	0.932812860058082
Sim175	0	0.150698367054491	0	0.0354512173135484	0.211919366736503	0.601931048895458	0	0	0	0.227632690758024	1.09521624514941
Sim176	0.0223949925958311	0	0.0294270567266365	0.878891881237525	0.00524989636719836	0.042222884220876	0	0.0218132888519329	0	0.288917708311466	1.14896425401763
Sim177	0.0247340981700666	0.309196203221524	0.128202141194263	0.115549793643652	0.180312249457236	0.111133116999419	0.0763327591179076	0.0545396381959317	0	0.188389646454578	1.05852713617684
Sim178	0.339826068724977	0.095222782387489	0.155761851895032	0.0363540607542546	0.163364077158334	0.095554324732447	0.0283909882771018	0.0855258460703646	0	0.195386696882203	1.03137310219718
Sim179	0.278824255366151	0	0.177300741505424	0	0.0363623896786076	0.404716096598782	0	0.102796516851035	0	0.243664810820975	1.03031825060548
Sim180	0	0.183301146950817	0	0.0967487756007945	0.0754843325165456	0.471511156071036	0	0.172954588860807	0	0.329060563262236	1.0147511915831
Sim181	0.194084346691273	0	0.0940914190969819	0.0641277082736255	0.243618640562403	0.156051173798599	0.121924169170733	0.126102542406385	0	0.30551246378278	0.976833712347001
Sim182	0	0.124705388660004	0.127267811565747	0	0.453527579540503	0	0.260520069686832	0.0339791505469143	0	0.295873743426042	1.00741823371038
Sim183	0	0.296994818018823	0	0	0.446479532491963	0.132235934309278	0.0148348982137187	0.109454816966216	0	0.121230613222419	1.13843921320294
Sim184	0.629808052255621	0.13540242710132	0.0160692477538023	0	0	0.0931259681424206	0	0.125594304746836	0	0.367968551236629	0.968405133387398
Sim185	0.0903951382127578	0.288897409944757	0.414090855108123	0	0.165585234034545	0	0	0.0410313626998168	0	0.2121370304945	1.07266663959457
