Mixture	B.cell	Dendritic.cell	Eosinophils	Macrophage	Mast.cell	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim124	0.257452123859457	0.119783411108653	0.177556253700473	0.281567567952817	0	0	0.152382498192838	0.0112581451857616	0	0	0	0.201016275180022	1.14619052570442
Sim125	0.115373814923676	0	0.149319065512211	0.244284457886798	0.04521550628002	0.174538121625076	0.113060092424556	0	0.0789679913452537	0.0792409500024096	0	0.29901314415716	1.06961338027695
Sim126	0.255773981118554	0	0.137422239050695	0	0.0645062290135673	0.173409610003235	0.314623708991625	0.0542642318223231	0	0	0	0.284150705361512	1.08695290539935
Sim127	0.00602243681490949	0.175860098844967	0	0.368711178107615	0	0	0	0.16068126049532	0	0.288725025737188	0	0.248828970015573	1.12024511373832
Sim128	0.186071798477807	0.0573362893857626	0.334665888239979	0	0.018974716716213	0.0429835177486225	0	0.109941457415844	0.141849100448589	0.108177231567184	0	0.237832333684597	1.10079605861494
Sim129	0	0.151451954544331	0.0296006084710734	0.171384832324683	0	0	0.462201118202211	0.166005180261036	0.0193563061966654	0	0	0.220107834559879	1.15233145023713
Sim130	0.211534360056983	0	0	0.652913585664515	0.128338565402313	0.00721348887618889	0	0	0	0	0	0.198349677366805	1.14973018961509
Sim131	0.126054497314224	0	0.0765328224857304	0	0.0439754883163863	0.277918606315222	0.22004788934998	0.122364879596904	0.122319680149077	0.0107861364724762	0	0.113443176546188	1.18994668140859
Sim132	0	0.0846746552944245	0	0.0248996594631077	0.218643278843272	0.268780511400572	0.307138247682451	0	0.0958636473161735	0	0	0.3707217008654	1.02912552134484
Sim133	0	0	0.116923942063927	0.0553452501829888	0.106550382006499	0.272933644661666	0.249977824511937	0.0622891175234867	0.135979839049495	0	0	0.153048917792447	1.1659156691546
Sim134	0	0.191685744250565	0.372937669973442	0	0	0.0123463290345057	0.0345426626957905	0.194923198105392	0.0202240508697191	0.173340345070586	0	0.221356154697083	1.12932175675632
Sim135	0.0260509773852073	0	0	0.456581960469359	0	0	0.0682038053014007	0.145333992241612	0.02427304947862	0.279556215123801	0	0.323832520884135	1.06897606501544
Sim136	0.075824263568437	0.0905635203093398	0.471128798266964	0	0.120813485622502	0	0	0.0497580523579663	0	0.191911879874791	0	0.261189922128217	1.11321046201483
Sim137	0	0.258703404333866	0.342573525898007	0	0	0.0767057304904607	0.190003378563866	0.0105438198057717	0.117915722822383	0.00355441808564567	0	0.419315626044082	0.981621183726359
Sim138	0.118254770203779	0.010707963250462	0.329904930842592	0	0.171805740236737	0	0.172972158401747	0.196354437064682	0	0	0	0.315690643289426	1.05180848503197
Sim139	0.0367380470053671	0	0	0	0.0624724303136782	0.423424057252201	0	0.228328422709566	0	0.249037042719188	0	0.119263432521286	1.19501043063343
Sim140	0	0.0722903354795491	0.203736024197445	0.0432203288809294	0.167031431333007	0.0393227075268751	0.122680486050692	0.178556473813802	0.0859020283814276	0.0872601843362725	0	0.257905113172686	1.09011720806473
Sim141	0	0.0187716694137133	0.117923640295077	0.259159895970076	0	0	0	0.0581849755812928	0	0.545959818739842	0	0.518216949710345	0.930933304290015
Sim142	0	0.395507044088685	0.0956886075305798	0	0	0	0.0893737657158458	0.0823987621413691	0.084059914605596	0.252971905917924	0	0.315057637118074	1.07647703569554
Sim143	0	0.021629710161285	0.655823625580708	0.154154275940523	0.0388081738587896	0	0.0718431081091198	0.0577411063495741	0	0	0	0.444353413329719	0.987578606432368
Sim144	0	0	0.270186635362703	0	0	0.494877775869368	0	0.0472119988408404	0.125255138504147	0.0624684514229426	0	0.118902216567955	1.18228801822102
Sim145	0.246877194390779	0.180587950903307	0.115079195241807	0	0	0	0	0.0198078395988245	0	0.437647819865281	0	0.411045372480835	1.01071626861935
Sim146	0	0.0473698243856059	0	0.474521411494145	0	0	0.246155341061154	0.128601965761942	0	0.103351457297153	0	0.45014863216835	0.968541442709208
Sim147	0	0	0.139947939041456	0	0.322887244834594	0.297301243450192	0.188605699337917	0	0.0512578733358418	0	0	0.326756467202969	1.05733402971605
